iter	Passed	Remaining
780	1172	328
781	1172	326
782	1173	325
783	1174	323
784	1175	321
785	1175	320
786	1176	318
787	1177	316
788	1178	315
789	1179	313
790	1180	311
791	1181	310
792	1181	308
793	1182	306
794	1183	305
795	1184	303
796	1184	301
797	1186	300
798	1187	298
799	1188	297
800	1188	295
801	1189	293
802	1190	292
803	1191	290
804	1191	288
805	1192	287
806	1193	285
807	1194	283
808	1195	282
809	1196	280
810	1196	278
811	1197	277
812	1198	275
813	1199	274
814	1200	272
815	1201	270
816	1201	269
817	1202	267
818	1203	265
819	1204	264
820	1204	262
821	1205	261
822	1206	259
823	1207	257
824	1208	256
825	1209	254
826	1210	253
827	1211	251
828	1211	249
829	1212	248
830	1213	246
831	1213	245
832	1214	243
833	1215	241
834	1216	240
835	1217	238
836	1218	237
837	1219	235
838	1219	234
839	1220	232
840	1221	230
841	1222	229
842	1223	227
843	1224	226
844	1225	224
845	1226	223
846	1227	221
847	1227	220
848	1228	218
849	1229	216
850	1230	215
851	1231	213
852	1232	212
853	1233	210
854	1233	209
855	1234	207
856	1235	206
857	1236	204
858	1237	203
859	1238	201
860	1238	200
861	1239	198
862	1240	196
863	1241	195
864	1242	193
865	1242	192
866	1243	190
867	1244	189
868	1245	187
869	1245	186
870	1246	184
871	1247	183
872	1248	181
873	1248	180
874	1249	178
875	1250	177
876	1251	175
877	1252	174
878	1253	172
879	1254	171
880	1254	169
881	1255	167
882	1256	166
883	1257	164
884	1257	163
885	1258	161
886	1260	160
887	1261	159
888	1262	157
889	1262	156
890	1263	154
891	1264	153
892	1265	151
893	1266	150
894	1267	148
895	1268	147
896	1269	145
897	1269	144
898	1270	142
899	1271	141
900	1272	139
901	1273	138
902	1273	136
903	1275	135
904	1276	133
905	1276	132
906	1277	131
907	1278	129
908	1279	128
909	1280	126
910	1280	125
911	1281	123
912	1282	122
913	1283	120
914	1284	119
915	1285	117
916	1286	116
917	1286	114
918	1287	113
919	1288	112
920	1289	110
921	1290	109
922	1291	107
923	1292	106
924	1293	104
925	1293	103
926	1294	101
927	1295	100
928	1296	99
929	1298	97
930	1299	96
931	1300	94
932	1301	93
933	1302	92
934	1302	90
935	1304	89
936	1305	87
937	1306	86
938	1307	84
939	1308	83
940	1309	82
941	1310	80
942	1311	79
943	1312	77
944	1313	76
945	1314	75
946	1314	73
947	1315	72
948	1316	70
949	1317	69
950	1318	67
951	1320	66
952	1321	65
953	1322	63
954	1323	62
955	1323	60
956	1324	59
957	1326	58
958	1328	56
959	1329	55
960	1330	54
961	1331	52
962	1332	51
963	1333	49
964	1335	48
965	1337	47
966	1338	45
967	1339	44
968	1341	42
969	1342	41
970	1343	40
971	1344	38
972	1345	37
973	1346	35
974	1347	34
975	1349	33
976	1351	31
977	1352	30
978	1353	29
979	1354	27
980	1356	26
981	1357	24
982	1358	23
983	1359	22
984	1360	20
985	1361	19
986	1363	17
987	1364	16
988	1365	15
989	1366	13
990	1367	12
991	1368	11
992	1369	9
993	1371	8
994	1372	6
995	1373	5
996	1374	4
997	1375	2
998	1376	1
999	1377	0
